state,submission_year,submission_month,new_case,new_death,population,pnew_case,pnew_death
MT,2020,3,203.0,5.0,1084225,0.00018723051027231432,4.611588922963407e-06
MT,2020,4,250.0,11.0,1084225,0.00023057944614817034,1.0145495630519496e-05
MT,2020,5,62.0,1.0,1084225,5.7183702644746245e-05,9.223177845926814e-07
MT,2020,6,503.0,5.0,1084225,0.00046392584565011874,4.611588922963407e-06
MT,2020,7,2947.0,38.0,1084225,0.002718070511194632,3.504807581452189e-05
MT,2020,8,3528.0,45.0,1084225,0.00325393714404298,4.1504300306670666e-05
MT,2020,9,5900.0,76.0,1084225,0.00544167492909682,7.009615162904378e-05
MT,2020,10,19408.0,194.0,1084225,0.01790034356337476,0.0001789296502109802
MT,2020,11,29397.0,306.0,1084225,0.027113375913671054,0.0002822292420853605
MT,2020,12,19357.0,280.0,1084225,0.017853305356360535,0.0002582489796859508
MT,2021,1,12394.0,272.0,1084225,0.011431206622241693,0.0002508704374092093
MT,2021,2,6005.0,124.0,1084225,0.0055385182964790515,0.00011436740528949249
MT,2021,3,4598.0,80.0,1084225,0.004240817173557149,7.378542276741451e-05
MT,2021,4,4193.0,108.0,1084225,0.003867278470797113,9.961032073600959e-05
MT,2021,5,3012.0,42.0,1084225,0.0027780211671931563,3.8737346952892616e-05
MT,2021,6,1926.0,52.0,1084225,0.0017763840531255044,4.7960524798819434e-05
MT,2021,7,2699.0,40.0,1084225,0.002489335700615647,3.689271138370726e-05
MT,2021,8,10773.0,95.0,1084225,0.009936129493416957,8.762018953630473e-05
MT,2021,9,23806.0,209.0,1084225,0.021956697180013373,0.00019276441697987042
MT,2021,10,24814.0,337.0,1084225,0.022886393506882798,0.0003108210934077336
MT,2021,11,15165.0,325.0,1084225,0.013986949203348014,0.00029975327999262147
MT,2021,12,3096.0,182.0,1084225,0.0028554958610989417,0.00016786183679586803
NC,2020,1,0.0,0.0,10439388,0.0,0.0
NC,2020,2,0.0,0.0,10439388,0.0,0.0
NC,2020,3,1427.0,13.0,10439388,0.00013669383684177655,1.245283727360263e-06
NC,2020,4,9281.0,420.0,10439388,0.0008890367902792769,4.023224349933157e-05
NC,2020,5,17976.0,554.0,10439388,0.0017219400217713913,5.3068244996737355e-05
NC,2020,6,36281.0,460.0,10439388,0.003475395300950592,4.406388573736315e-05
NC,2020,7,57813.0,653.0,10439388,0.005537968317682991,6.255155953586551e-05
NC,2020,8,47630.0,881.0,10439388,0.004562527994936102,8.43919202926455e-05
NC,2020,9,40186.0,852.0,10439388,0.003849459374438425,8.161397967007261e-05
NC,2020,10,63736.0,898.0,10439388,0.006105338742079517,8.602036824380893e-05
NC,2020,11,92241.0,1128.0,10439388,0.00883586279195677,0.00010805231111249051
NC,2020,12,183574.0,2058.0,10439388,0.017584747305110223,0.0001971379931467247
NC,2021,1,213967.0,3039.0,10439388,0.020496124868622567,0.00029110901903444915
NC,2021,2,95400.0,1345.0,10439388,0.009138466737705313,0.00012883897025381183
NC,2021,3,51845.0,456.0,10439388,0.004966287295768679,4.3680721513559993e-05
NC,2021,4,54855.0,338.0,10439388,0.005254618374180555,3.2377376911366835e-05
NC,2021,5,31888.0,353.0,10439388,0.003054585192158774,3.381424275062868e-05
NC,2021,6,12437.0,171.0,10439388,0.0011913533628599684,1.6380270567584995e-05
NC,2021,7,43854.0,212.0,10439388,0.0042008209676659206,2.0307703861567365e-05
NC,2021,8,168618.0,1197.0,10439388,0.016152096272310217,0.00011466189397309498
NC,2021,9,181063.0,2090.0,10439388,0.01734421596361779,0.00020020330693714997
NC,2021,10,79241.0,1277.0,10439388,0.007590579064596507,0.00012232517844915812
NC,2021,11,52778.0,509.0,10439388,0.0050556603509707655,4.875764747895183e-05
NC,2021,12,41063.0,129.0,10439388,0.003933468130507267,1.2357046217651839e-05
ND,2020,1,0.0,0.0,779094,0.0,0.0
ND,2020,2,0.0,0.0,779094,0.0,0.0
ND,2020,3,126.0,3.0,779094,0.00016172631287110414,3.8506264969310506e-06
ND,2020,4,941.0,16.0,779094,0.0012078131778707063,2.053667465029894e-05
ND,2020,5,1510.0,42.0,779094,0.0019381486701219623,5.390877095703471e-05
ND,2020,6,999.0,18.0,779094,0.00128225862347804,2.3103758981586305e-05
ND,2020,7,3026.0,24.0,779094,0.0038839985932377866,3.0805011975448405e-05
ND,2020,8,5398.0,42.0,779094,0.0069285606101446035,5.390877095703471e-05
ND,2020,9,10218.0,111.0,779094,0.013115233848547158,0.00014247318038644886
ND,2020,10,22825.0,275.0,779094,0.029296849930817076,0.00035297409555201296
ND,2020,11,34612.0,423.0,779094,0.04442596143725917,0.0005429383360672781
ND,2020,12,13115.0,355.0,779094,0.01683365550241691,0.00045565746880350767
ND,2021,1,4913.0,113.0,779094,0.0063060426598074175,0.00014504026471773624
ND,2021,2,2169.0,23.0,779094,0.0027840029572811496,2.952146980980472e-05
ND,2021,3,3447.0,21.0,779094,0.004424369844973778,2.6954385478517355e-05
ND,2021,4,4340.0,28.0,779094,0.005570572998893587,3.593918063802314e-05
ND,2021,5,2323.0,18.0,779094,0.002981668450790277,2.3103758981586305e-05
ND,2021,6,756.0,16.0,779094,0.0009703578772266248,2.053667465029894e-05
ND,2021,7,940.0,11.0,779094,0.0012065296357050626,1.4118963822080519e-05
ND,2021,8,6297.0,22.0,779094,0.008082465017058275,2.8237927644161038e-05
ND,2021,9,14853.0,50.0,779094,0.01906445178630563,6.417710828218418e-05
ND,2021,10,15586.0,151.0,779094,0.02000528819372245,0.00019381486701219622
ND,2021,11,14582.0,136.0,779094,0.018716611859416192,0.00017456173452754098
ND,2021,12,5277.0,70.0,779094,0.0067732520081017185,8.984795159505785e-05
NE,2020,1,0.0,0.0,1961504,0.0,0.0
NE,2020,2,0.0,0.0,1961504,0.0,0.0
NE,2020,3,180.0,3.0,1961504,9.176631809060803e-05,1.529438634843467e-06
NE,2020,4,4281.0,67.0,1961504,0.0021825089319216276,3.415746284483743e-05
NE,2020,5,9605.0,100.0,1961504,0.0048967526958905005,5.098128782811557e-05
NE,2020,6,5065.0,104.0,1961504,0.0025822022284940536,5.302053934124019e-05
NE,2020,7,7035.0,39.0,1961504,0.0035865335987079303,1.9882702252965072e-05
NE,2020,8,8196.0,84.0,1961504,0.004178426350392352,4.2824281775617076e-05
NE,2020,9,11262.0,81.0,1961504,0.005741512635202375,4.129484314077361e-05
NE,2020,10,25957.0,174.0,1961504,0.013233212881543959,8.870744082092108e-05
NE,2020,11,55761.0,366.0,1961504,0.02842767590583552,0.00018659151345090297
NE,2020,12,39891.0,633.0,1961504,0.02033694552751358,0.00032271155195197154
NE,2021,1,24421.0,270.0,1961504,0.012450140300504103,0.00013764947713591205
NE,2021,2,9801.0,161.0,1961504,0.004996676020033607,8.207987340326606e-05
NE,2021,3,9560.0,98.0,1961504,0.004873811116367848,4.996166207155326e-05
NE,2021,4,9251.0,65.0,1961504,0.004716278936978971,3.313783708827512e-05
NE,2021,5,3255.0,4.0,1961504,0.0016594409188051618,2.0392515131246226e-06
NE,2021,6,1170.0,11.0,1961504,0.0005964810675889522,5.607941661092712e-06
NE,2021,7,4203.0,20.0,1961504,0.0021427435274156974,1.0196257565623113e-05
NE,2021,8,16171.0,42.0,1961504,0.00824418405468457,2.1412140887808538e-05
NE,2021,9,22014.0,123.0,1961504,0.011223020702481361,6.270698402858215e-05
NE,2021,10,17687.0,135.0,1961504,0.0090170603781588,6.882473856795602e-05
NE,2021,11,26446.0,183.0,1961504,0.013482511379023444,9.329575672545149e-05
NE,2021,12,13508.0,118.0,1961504,0.006886552359821851,6.015791963717637e-05
NH,2020,1,0.0,0.0,1377529,0.0,0.0
NH,2020,2,0.0,0.0,1377529,0.0,0.0
NH,2020,3,367.0,3.0,1377529,0.00026641907357304273,2.177812590515336e-06
NH,2020,4,1779.0,69.0,1377529,0.0012914428661755942,5.008968958185272e-05
NH,2020,5,2505.0,173.0,1377529,0.0018184735130803054,0.0001255871927197177
NH,2020,6,1131.0,126.0,1377529,0.0008210353466242816,9.14681288016441e-05
NH,2020,7,801.0,44.0,1377529,0.0005814759616675946,3.194125132755826e-05
NH,2020,8,692.0,17.0,1377529,0.0005023487708788708,1.2340938012920235e-05
NH,2020,9,991.0,7.0,1377529,0.0007194040924002326,5.08156271120245e-06
NH,2020,10,2818.0,44.0,1377529,0.002045691960024072,3.194125132755826e-05
NH,2020,11,9910.0,43.0,1377529,0.007194040924002326,3.121531379738648e-05
NH,2020,12,23034.0,232.0,1377529,0.01672124506997675,0.00016841750699985263
NH,2021,1,21667.0,299.0,1377529,0.015728888466231928,0.0002170553215213618
NH,2021,2,9729.0,113.0,1377529,0.007062646231041234,8.203094090941098e-05
NH,2021,3,8752.0,68.0,1377529,0.006353405264063406,4.936375205168094e-05
NH,2021,4,10710.0,65.0,1377529,0.007774790948139749,4.718593946116561e-05
NH,2021,5,3860.0,50.0,1377529,0.0028021188664630655,3.629687650858893e-05
NH,2021,6,758.0,19.0,1377529,0.0005502606478702082,1.3792813073263793e-05
NH,2021,7,1262.0,15.0,1377529,0.0009161331630767846,1.088906295257668e-05
NH,2021,8,6923.0,30.0,1377529,0.005025665521379223,2.177812590515336e-05
NH,2021,9,12579.0,64.0,1377529,0.009131568192030802,4.646000193099383e-05
NH,2021,10,14249.0,84.0,1377529,0.010343883867417674,6.09787525344294e-05
NH,2021,11,26727.0,151.0,1377529,0.019402132368901127,0.00010961656705593857
NH,2021,12,17723.0,94.0,1377529,0.012865790847234432,6.823812783614719e-05
NJ,2020,1,0.0,0.0,9288994,0.0,0.0
NJ,2020,2,0.0,0.0,9288994,0.0,0.0
NJ,2020,3,18696.0,267.0,9288994,0.0020127044973869074,2.8743693881167326e-05
NJ,2020,4,99957.0,6961.0,9288994,0.010760799285692294,0.000749381472310134
NJ,2020,5,42154.0,4470.0,9288994,0.004538058696130065,0.00048121465037010466
NJ,2020,6,11871.0,1513.0,9288994,0.0012779640077278552,0.0001628809319932815
NJ,2020,7,11286.0,784.0,9288994,0.001214986251471365,8.440095881211678e-05
NJ,2020,8,11506.0,126.0,9288994,0.0012386701939951733,1.3564439809090198e-05
NJ,2020,9,15118.0,177.0,9288994,0.0016275174685224255,1.9054808303245755e-05
NJ,2020,10,39343.0,228.0,9288994,0.004235442503246315,2.454517679740131e-05
NJ,2020,11,117852.0,643.0,9288994,0.012687272701435699,6.922170474003966e-05
NJ,2020,12,160001.0,2049.0,9288994,0.01722479312614477,0.00022058362832401443
NJ,2021,1,169045.0,2442.0,9288994,0.018198418472441687,0.00026289176201427195
NJ,2021,2,92527.0,1768.0,9288994,0.009960927954092768,0.0001903327744640593
NJ,2021,3,119460.0,1309.0,9288994,0.012860380790427898,0.00014091945801665928
NJ,2021,4,97412.0,993.0,9288994,0.010486819132405512,0.00010690070420973466
NJ,2021,5,19109.0,658.0,9288994,0.0020571657167611475,7.083651900302659e-05
NJ,2021,6,7063.0,245.0,9288994,0.000760362209298445,2.6375299628786498e-05
NJ,2021,7,15958.0,145.0,9288994,0.0017179470672496935,1.560987120887364e-05
NJ,2021,8,52613.0,280.0,9288994,0.005664014854568751,3.0143199575755996e-05
NJ,2021,9,62604.0,545.0,9288994,0.0067395888080022445,5.8671584888525065e-05
NJ,2021,10,44347.0,545.0,9288994,0.0047741445413787545,5.8671584888525065e-05
NJ,2021,11,53788.0,418.0,9288994,0.005790508638502727,4.499949079523574e-05
